RESOLUCAO,BITRATE,QP,FPS,PSNR,SSIM,LPIPS,VMAF
27648000,11320.2,36,24,36.706623,0.20398222,,
27648000,13906.0,28,24,40.200245,0.23125175,,
27648000,8263.4,33,24,38.381367,0.18696183,,
27648000,5668.4,37,24,36.551876,0.16097586,,
27648000,6131.6,32,24,42.814453,0.1584209,,
27648000,3788.0,37,24,40.3128,0.13255003,,
27648000,2787.6,40,24,37.601524,0.13545689,,
27648000,37632.0,34,24,25.903833,0.64248604,,
27648000,26838.2,36,24,24.717875,0.5780596,,
27648000,19487.2,38,24,23.723108,0.50567687,,
27648000,46932.8,27,24,30.641367,0.9307593,,
27648000,24356.4,33,24,26.273699,0.820264,,
27648000,15872.0,36,24,24.315104,0.7246403,,
27648000,125198.6,23,24,36.01293,0.8809682,,
27648000,57164.2,29,24,32.67367,0.8018308,,
27648000,39375.8,32,24,31.330168,0.7480297,,
27648000,99925.4,28,24,34.385155,0.7140672,,
27648000,61133.8,32,24,32.41607,0.6607605,,
27648000,37405.6,36,24,30.447897,0.5935001,,
27648000,501812.6,25,24,32.316883,0.8656916,,
27648000,255978.8,30,24,29.066593,0.7398289,,
27648000,150781.2,33,24,27.24403,0.6325981,,
27648000,291794.2,26,24,35.60237,0.6996709,,
27648000,123367.8,31,24,32.985435,0.5378438,,
27648000,84780.8,33,24,32.030544,0.47275707,,
27648000,166475.0,30,24,33.34962,0.5994429,,
27648000,63718.0,35,24,30.937431,0.43487722,,
27648000,35583.6,38,24,29.672846,0.34527606,,
27648000,155172.2,27,24,32.041916,0.7564396,,
27648000,90577.2,30,24,30.251867,0.6883615,,
27648000,50466.4,33,24,28.425009,0.61068326,,
27648000,60117.2,23,24,36.470898,0.79661304,,
27648000,23186.8,29,24,33.49424,0.6689896,,
27648000,13989.0,33,24,31.788858,0.56734765,,
27648000,26354.0,26,24,35.056694,0.76189804,,
27648000,14211.2,31,24,32.23945,0.65799034,,
27648000,11023.0,33,24,31.129225,0.60317916,,
27648000,26581.8,24,24,37.45045,0.75939184,,
27648000,14404.0,29,24,34.536377,0.65611446,,
27648000,7923.2,34,24,32.148354,0.5251448,,
27648000,104015.4,27,24,32.582104,0.77545637,,
27648000,48838.8,32,24,30.183928,0.65406644,,
27648000,28196.0,36,24,28.414454,0.53965175,,
27648000,321546.6,23,24,33.35829,0.88136077,,
27648000,96941.2,30,24,29.512453,0.70885146,,
27648000,56591.2,33,24,28.057405,0.5942815,,
27648000,144079.2,26,24,30.941854,0.7821499,,
27648000,61509.0,30,24,28.646618,0.679341,,
27648000,29437.4,34,24,26.560276,0.5552593,,
27648000,46917.4,30,24,31.289543,0.670541,,
27648000,30876.0,33,24,29.798168,0.56503934,,
27648000,23402.2,35,24,28.964495,0.49660975,,
27648000,19981.8,31,24,45.880104,0.67134655,,
27648000,12653.6,35,24,43.51741,0.6203316,,
27648000,8463.0,39,24,42.541527,0.5913208,,
27648000,116248.0,30,24,33.07954,0.6525962,,
27648000,60565.2,35,24,30.871098,0.48090988,,
27648000,42044.8,38,24,29.68713,0.38612655,,
27648000,118538.6,26,24,32.46846,0.74792033,,
27648000,57279.8,31,24,30.245321,0.65687245,,
27648000,33154.0,35,24,28.581493,0.586626,,
27648000,23664.4,30,24,34.09867,0.57248884,,
27648000,14352.0,34,24,32.456944,0.4386916,,
27648000,10425.0,37,24,31.439974,0.34787804,,
34560000,97009.8,27,30,33.66172,0.7223784,,
34560000,50985.4,31,30,31.407497,0.6309851,,
34560000,36405.4,33,30,30.355892,0.57580465,,
34560000,171956.6,23,30,33.399868,0.78978527,,
34560000,96270.8,26,30,31.532356,0.70093393,,
34560000,54062.2,29,30,29.970814,0.5996068,,
34560000,28866.0,24,30,40.825813,0.5862245,,
34560000,14492.0,31,30,37.53853,0.51044655,,
34560000,10765.4,34,30,33.931667,0.4720649,,
34560000,31669.2,26,30,38.415466,0.61939424,,
34560000,20515.4,30,30,36.564236,0.5738313,,
34560000,11963.8,35,30,34.00849,0.50916433,,
34560000,53245.6,24,30,37.264824,0.7610862,,
34560000,26628.0,30,30,32.578743,0.615162,,
34560000,15845.0,34,30,31.252382,0.53374153,,
34560000,12417.4,21,30,44.23537,0.59439605,,
34560000,7451.8,26,30,41.642235,0.527375,,
34560000,5442.4,29,30,40.23613,0.49838197,,
34560000,95012.4,27,30,36.280334,0.70591927,,
34560000,37872.8,33,30,33.038635,0.5956131,,
34560000,21234.4,37,30,31.295826,0.4965859,,
34560000,20353.6,27,30,38.393097,0.5205539,,
34560000,11144.6,32,30,36.08406,0.4691926,,
34560000,8270.8,35,30,33.583054,0.40427276,,
34560000,17130.8,22,30,42.861866,0.7405266,,
34560000,6393.0,31,30,38.639984,0.6551109,,
34560000,4810.6,34,30,37.408665,0.6196383,,
34560000,20172.2,24,30,41.70099,0.5950586,,
34560000,11334.4,30,30,38.897854,0.53283507,,
34560000,8636.2,33,30,37.310196,0.48517406,,
34560000,36542.6,30,30,33.985165,0.71271014,,
34560000,25737.0,33,30,32.31238,0.64704365,,
34560000,18950.8,36,30,31.031034,0.58110553,,
34560000,22160.4,29,30,35.72109,0.63750297,,
34560000,13408.2,34,30,33.773693,0.5600571,,
34560000,11088.8,36,30,31.618757,0.5007353,,
34560000,43834.6,23,30,40.747536,0.62930214,,
34560000,16417.6,30,30,37.34476,0.5309104,,
34560000,8876.0,35,30,34.92429,0.4490083,,
34560000,96160.8,26,30,37.207394,0.6587841,,
34560000,53897.4,31,30,34.80649,0.5941976,,
34560000,30299.2,36,30,32.451553,0.51122814,,
34560000,104582.6,23,30,38.092,0.79393435,,
34560000,50373.0,29,30,34.697037,0.72191256,,
34560000,35573.6,32,30,33.34183,0.6835254,,
27648000,26639.6,26,24,35.01504,0.6203206,,
27648000,13662.6,31,24,32.59217,0.49921846,,
27648000,10285.2,33,24,31.543201,0.45029798,,
27648000,295951.6,26,24,34.268677,0.58526677,,
27648000,166126.0,31,24,31.089392,0.5067523,,
27648000,124050.4,33,24,29.747631,0.46886092,,
27648000,120736.0,28,24,30.582087,0.7661377,,
27648000,49786.4,33,24,27.639507,0.68642527,,
27648000,29823.6,36,24,26.13873,0.6331896,,
27648000,22533.4,26,24,37.216022,0.51616967,,
27648000,11569.0,31,24,34.462425,0.43427035,,
27648000,7932.6,34,24,33.005745,0.39129823,,
27648000,88810.0,25,24,34.71989,0.6648467,,
27648000,45638.8,30,24,31.423565,0.596397,,
27648000,29416.0,33,24,29.429907,0.54724365,,
27648000,79541.6,26,24,33.905724,0.6462518,,
27648000,40592.4,31,24,30.78457,0.57734764,,
27648000,29842.4,33,24,29.462086,0.5480588,,
27648000,124596.0,27,24,32.643997,0.56756437,,
27648000,65152.4,32,24,29.319324,0.51591265,,
27648000,36530.8,36,24,26.90883,0.47010395,,
27648000,188245.4,23,24,35.907932,0.60505563,,
27648000,68534.2,31,24,30.129734,0.52271545,,
27648000,38645.8,35,24,27.68355,0.47880298,,
27648000,78154.4,26,24,33.54564,0.6145576,,
27648000,30256.6,33,24,29.081686,0.49514526,,
27648000,23119.0,35,24,28.15318,0.4573164,,
27648000,59658.4,27,24,34.60993,0.45065966,,
27648000,35411.2,31,24,32.68698,0.39575207,,
27648000,19003.4,36,24,30.423466,0.326083,,
27648000,28472.0,27,24,34.098015,0.5386309,,
27648000,14463.0,32,24,31.216387,0.45554155,,
27648000,9841.4,35,24,29.746355,0.4118899,,
27648000,26360.8,29,24,32.84591,0.51000214,,
27648000,15180.6,33,24,30.537931,0.45109093,,
27648000,10172.8,36,24,29.0842,0.4054183,,
27648000,137715.2,22,24,36.0351,0.6879203,,
27648000,61115.0,28,24,31.432472,0.6023445,,
27648000,35122.0,32,24,28.994497,0.53882945,,
34560000,66483.8,23,30,38.756912,0.71844673,,
34560000,32843.2,29,30,35.418354,0.6253091,,
34560000,22757.2,32,30,33.88478,0.5693077,,
34560000,220587.8,23,30,36.457943,0.5605921,,
34560000,85909.0,29,30,34.320885,0.47717285,,
34560000,57461.8,32,30,33.220013,0.43785635,,
34560000,54652.8,30,30,35.31427,0.4747891,,
34560000,30092.0,35,30,32.68869,0.40387893,,
34560000,21902.0,38,30,31.075302,0.36188325,,
34560000,84954.2,28,30,36.668987,0.43192592,,
34560000,50155.0,32,30,34.90255,0.36011592,,
34560000,30668.4,36,30,32.994656,0.3042335,,
34560000,52571.0,29,30,35.966164,0.4495991,,
34560000,37425.4,32,30,34.8216,0.3809994,,
34560000,27351.6,35,30,33.6628,0.3156479,,
34560000,79778.0,28,30,34.590946,0.42826283,,
34560000,46805.0,32,30,33.16955,0.32760713,,
34560000,31903.4,35,30,24.32095,0.1700827,,
34560000,121100.6,23,30,37.00575,0.67761576,,
34560000,56124.6,28,30,34.423817,0.5093477,,
34560000,35817.0,31,30,33.114655,0.42562008,,
34560000,78040.6,28,30,36.597973,0.57365376,,
34560000,42482.0,33,30,33.803455,0.48896292,,
34560000,30203.2,36,30,20.241417,0.19581844,,
34560000,59239.8,24,30,37.22426,0.3670524,,
34560000,28390.6,29,30,36.080055,0.2868668,,
34560000,19798.6,32,30,35.28719,0.24883367,,
34560000,63233.6,25,30,37.28827,0.47793752,,
34560000,30701.6,30,30,35.58317,0.35286644,,
34560000,21110.6,33,30,34.4512,0.28943995,,
27648000,82212.8,24,24,33.9876,0.8064684,,
27648000,43050.0,30,24,30.300268,0.7172169,,
27648000,27387.6,34,24,27.92027,0.6588533,,
27648000,144406.2,28,24,33.541054,0.7642816,,
27648000,87978.8,32,24,31.565588,0.70386493,,
27648000,54474.0,36,24,29.583624,0.6312576,,
27648000,62867.8,23,24,37.80127,0.60039294,,
27648000,38210.2,27,24,35.58828,0.51089555,,
27648000,23280.0,31,24,33.612087,0.4318223,,
27648000,46004.0,30,24,34.497902,0.5468371,,
27648000,28635.4,34,24,32.552788,0.4690087,,
27648000,20747.0,37,24,31.16689,0.4093067,,
27648000,387217.8,26,24,33.345963,0.75543666,,
27648000,168294.2,33,24,29.055326,0.6539554,,
27648000,100957.4,37,24,27.089989,0.57267153,,
27648000,198959.4,27,24,35.10896,0.66082215,,
27648000,104176.8,32,24,32.49325,0.565499,,
27648000,60418.0,36,24,30.508137,0.47512847,,
27648000,38420.4,29,24,31.703949,0.78131336,,
27648000,20368.6,34,24,28.649956,0.62995726,,
27648000,15362.8,36,24,27.564754,0.5552824,,
27648000,44584.6,28,24,32.402206,0.8003533,,
27648000,23902.8,33,24,29.12808,0.6623404,,
27648000,16033.4,36,24,27.539549,0.55444664,,
27648000,26111.0,23,24,39.750484,0.5227425,,
27648000,14548.4,28,24,37.091198,0.44685945,,
27648000,9202.2,32,24,35.11775,0.39112848,,
27648000,55450.6,29,24,31.946444,0.6014171,,
27648000,24961.2,33,24,30.040155,0.5325454,,
27648000,14205.4,36,24,28.756157,0.4876261,,
27648000,95128.6,28,24,34.3358,0.6929979,,
27648000,43554.8,33,24,32.085445,0.607282,,
27648000,27787.6,36,24,30.795141,0.54693234,,
27648000,55430.2,27,24,33.656143,0.74067205,,
27648000,33250.4,30,24,32.108994,0.6427101,,
27648000,24039.0,32,24,31.080013,0.5622175,,
27648000,152332.6,21,24,39.652546,0.49590233,,
27648000,47737.2,30,24,34.57151,0.4123008,,
27648000,25834.0,35,24,32.1331,0.36068615,,
27648000,207280.4,22,24,37.56749,0.8391846,,
27648000,77621.2,30,24,33.112972,0.7146822,,
27648000,40874.0,35,24,30.501041,0.6050342,,
27648000,108069.6,26,24,33.540295,0.8123262,,
27648000,44449.0,32,24,30.378597,0.69489855,,
27648000,25658.0,36,24,28.48195,0.59999496,,
27648000,47368.2,28,24,35.670536,0.6016607,,
27648000,24049.6,33,24,33.405262,0.49625924,,
27648000,19013.4,35,24,32.64917,0.45472592,,
27648000,79047.0,31,24,31.760107,0.76538986,,
27648000,44940.2,35,24,29.779758,0.6656548,,
27648000,30096.8,38,24,28.306389,0.574496,,
27648000,54174.2,33,24,28.834135,0.7835604,,
27648000,34796.4,36,24,27.316744,0.70263845,,
27648000,22987.4,39,24,25.962015,0.604207,,
27648000,160319.2,20,24,38.43719,0.7912623,,
27648000,49015.0,28,24,34.048893,0.59353346,,
27648000,24238.6,33,24,31.725502,0.48301756,,
